"ChangeStep","Species","Cell","p11","p21","p31","p12","p22","p32","p13","p23","p33"
1,1,1,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,2,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,3,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
1,2,1,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,2,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,3,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
1,3,1,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,2,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,3,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,4,0,0,367.29,0.1,0,0,0,0.07984,0.5
2,1,1,0,0,459.1125,0.1,0,0,0,0.0916496848342222,0.1
2,1,2,0,0,459.1125,0.1,0,0,0,0.0865887678890618,0.1
2,1,3,0,0,459.1125,0.1,0,0,0,0.0859563327410145,0.1
2,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
2,2,1,0,0,18.3645,0.1,0,0,0,0.0903244464106845,0.95
2,2,2,0,0,18.3645,0.1,0,0,0,0.0869591224857335,0.95
2,2,3,0,0,18.3645,0.1,0,0,0,0.0864858780495163,0.95
2,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
2,3,1,0,0,367.29,0.1,0,0,0,0.0944330905868921,0.5
2,3,2,0,0,367.29,0.1,0,0,0,0.0900764230699058,0.5
2,3,3,0,0,367.29,0.1,0,0,0,0.0895042977947791,0.5
2,3,4,0,0,367.29,0.1,0,0,0,0.068087230771394,0.5
3,1,1,0,0,459.1125,0.1,0,0,0,0.0997714195054585,0.1
3,1,2,0,0,459.1125,0.1,0,0,0,0.0871923833251752,0.1
3,1,3,0,0,459.1125,0.1,0,0,0,0,0.1
3,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
3,2,1,0,0,18.3645,0.1,0,0,0,0.0998579664526609,0.95
3,2,2,0,0,18.3645,0.1,0,0,0,0.0914337926078652,0.95
3,2,3,0,0,18.3645,0.1,0,0,0,0,0.95
3,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
3,3,1,0,0,367.29,0.1,0,0,0,0.0992746618377966,0.5
3,3,2,0,0,367.29,0.1,0,0,0,0.0888386629100487,0.5
3,3,3,0,0,367.29,0.1,0,0,0,0,0.5
3,3,4,0,0,367.29,0.1,0,0,0,0.0276074804848808,0.5
4,1,1,0,0,459.1125,0.1,0,0,0,0.0673315415798674,0.1
4,1,2,0,0,459.1125,0.1,0,0,0,0.0788809159142237,0.1
