"ChangeStep","Species","Cell","p11","p21","p31","p12","p22","p32","p13","p23","p33"
1,1,1,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,2,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,3,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
1,2,1,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,2,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,3,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
1,3,1,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,2,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,3,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,4,0,0,367.29,0.1,0,0,0,0.07984,0.5
2,1,1,0,0,459.1125,0.1,0,0,0,0.0935185726137738,0.1
2,1,2,0,0,459.1125,0.1,0,0,0,0.0930498836878089,0.1
2,1,3,0,0,459.1125,0.1,0,0,0,0.0658912804604659,0.1
2,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
2,2,1,0,0,18.3645,0.1,0,0,0,0.0945983277338981,0.95
2,2,2,0,0,18.3645,0.1,0,0,0,0.0957224333850855,0.95
2,2,3,0,0,18.3645,0.1,0,0,0,0.0735440237030074,0.95
2,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
2,3,1,0,0,367.29,0.1,0,0,0,0.0907198226310968,0.5
2,3,2,0,0,367.29,0.1,0,0,0,0.0910273389580612,0.5
2,3,3,0,0,367.29,0.1,0,0,0,0.0672310892877425,0.5
2,3,4,0,0,367.29,0.1,0,0,0,0.0721088619502619,0.5
3,1,1,0,0,459.1125,0.1,0,0,0,0.0926985163623365,0.1
3,1,2,0,0,459.1125,0.1,0,0,0,0.0957673367839855,0.1
3,1,3,0,0,459.1125,0.1,0,0,0,0,0.1
3,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
3,2,1,0,0,18.3645,0.1,0,0,0,0.0881332765552094,0.95
3,2,2,0,0,18.3645,0.1,0,0,0,0.092426544032871,0.95
3,2,3,0,0,18.3645,0.1,0,0,0,0.00405752282592307,0.95
3,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
3,3,1,0,0,367.29,0.1,0,0,0,0.0927293240578259,0.5
3,3,2,0,0,367.29,0.1,0,0,0,0.0965075054917763,0.5
3,3,3,0,0,367.29,0.1,0,0,0,0,0.5
3,3,4,0,0,367.29,0.1,0,0,0,0.0712310592467831,0.5
4,1,1,0,0,459.1125,0.1,0,0,0,0.0857475455568164,0.1
4,1,2,0,0,459.1125,0.1,0,0,0,0.0858949594408193,0.1
