"ChangeStep","Species","Cell","p11","p21","p31","p12","p22","p32","p13","p23","p33"
1,1,1,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,2,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,3,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
1,2,1,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,2,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,3,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
1,3,1,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,2,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,3,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,4,0,0,367.29,0.1,0,0,0,0.07984,0.5
2,1,1,0,0,459.1125,0.1,0,0,0,0.0704200429368156,0.1
2,1,2,0,0,459.1125,0.1,0,0,0,0.0866478072944378,0.1
2,1,3,0,0,459.1125,0.1,0,0,0,0.0516032526981059,0.1
2,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
2,2,1,0,0,18.3645,0.1,0,0,0,0.0726351330679333,0.95
2,2,2,0,0,18.3645,0.1,0,0,0,0.0851709387011546,0.95
2,2,3,0,0,18.3645,0.1,0,0,0,0.0565446076617241,0.95
2,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
2,3,1,0,0,367.29,0.1,0,0,0,0.0751514785900444,0.5
2,3,2,0,0,367.29,0.1,0,0,0,0.0902048275965103,0.5
2,3,3,0,0,367.29,0.1,0,0,0,0.056866461182331,0.5
2,3,4,0,0,367.29,0.1,0,0,0,0.0695753167936005,0.5
3,1,1,0,0,459.1125,0.1,0,0,0,0.0906358147094069,0.1
3,1,2,0,0,459.1125,0.1,0,0,0,0.0910891136481017,0.1
3,1,3,0,0,459.1125,0.1,0,0,0,0.081142319810374,0.1
3,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
3,2,1,0,0,18.3645,0.1,0,0,0,0.0936855636353872,0.95
3,2,2,0,0,18.3645,0.1,0,0,0,0.093702267641008,0.95
3,2,3,0,0,18.3645,0.1,0,0,0,0.0868886479506661,0.95
3,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
3,3,1,0,0,367.29,0.1,0,0,0,0.0882004773114211,0.5
3,3,2,0,0,367.29,0.1,0,0,0,0.0884279571481013,0.5
3,3,3,0,0,367.29,0.1,0,0,0,0.0803943909809559,0.5
3,3,4,0,0,367.29,0.1,0,0,0,0.0633274153716594,0.5
4,1,1,0,0,459.1125,0.1,0,0,0,0.0957229348972667,0.1
