"ChangeStep","Species","Cell","p11","p21","p31","p12","p22","p32","p13","p23","p33"
1,1,1,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,2,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,3,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
1,2,1,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,2,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,3,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
1,3,1,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,2,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,3,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,4,0,0,367.29,0.1,0,0,0,0.07984,0.5
2,1,1,0,0,459.1125,0.1,0,0,0,0.0699519286537479,0.1
2,1,2,0,0,459.1125,0.1,0,0,0,0.0707196020883651,0.1
2,1,3,0,0,459.1125,0.1,0,0,0,0.090147807556622,0.1
2,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
2,2,1,0,0,18.3645,0.1,0,0,0,0.0725025152883853,0.95
2,2,2,0,0,18.3645,0.1,0,0,0,0.0731446323793826,0.95
2,2,3,0,0,18.3645,0.1,0,0,0,0.0865354191504109,0.95
2,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
2,3,1,0,0,367.29,0.1,0,0,0,0.0746562607439036,0.5
2,3,2,0,0,367.29,0.1,0,0,0,0.0753928384749581,0.5
2,3,3,0,0,367.29,0.1,0,0,0,0.0925123213822149,0.5
2,3,4,0,0,367.29,0.1,0,0,0,0.0740964991457783,0.5
3,1,1,0,0,459.1125,0.1,0,0,0,0.0470197755080544,0.1
3,1,2,0,0,459.1125,0.1,0,0,0,0.0133573561616426,0.1
3,1,3,0,0,459.1125,0.1,0,0,0,0.0960298589793219,0.1
3,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
3,2,1,0,0,18.3645,0.1,0,0,0,0.0559777806097499,0.95
3,2,2,0,0,18.3645,0.1,0,0,0,0.0247724700898125,0.95
3,2,3,0,0,18.3645,0.1,0,0,0,0.0983736939175279,0.95
3,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
3,3,1,0,0,367.29,0.1,0,0,0,0.0511046718332891,0.5
3,3,2,0,0,367.29,0.1,0,0,0,0.01897403317912,0.5
3,3,3,0,0,367.29,0.1,0,0,0,0.0963832058660232,0.5
3,3,4,0,0,367.29,0.1,0,0,0,0.0783969975598817,0.5
4,1,1,0,0,459.1125,0.1,0,0,0,0.0754276664718833,0.1
